===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-12-08 20:06:28
count workspace : c:\GameServers\gmod_dev_job\garrysmod\addons\ccr_lib
total files : 345
total code lines : 20624
total comment lines : 558
total blank lines : 4488

.history\lua\ccr\elements\_defaults_20191103165638.lua, code is 5, comment is 1, blank is 2.
.history\lua\ccr\elements\_defaults_20191115225007.lua, code is 5, comment is 1, blank is 2.
.history\lua\ccr\elements\_defaults_20191115230628.lua, code is 6, comment is 1, blank is 2.
.history\lua\ccr\elements\button_20191103013140.lua, code is 67, comment is 0, blank is 22.
.history\lua\ccr\elements\button_20191116020458.lua, code is 68, comment is 0, blank is 23.
.history\lua\ccr\elements\button_20191116021120.lua, code is 70, comment is 0, blank is 24.
.history\lua\ccr\elements\button_20191116022651.lua, code is 58, comment is 14, blank is 22.
.history\lua\ccr\elements\button_20191116022711.lua, code is 57, comment is 16, blank is 21.
.history\lua\ccr\elements\button_20191116022722.lua, code is 70, comment is 0, blank is 24.
.history\lua\ccr\elements\button_20191116023143.lua, code is 71, comment is 0, blank is 25.
.history\lua\ccr\elements\button_20191116023416.lua, code is 70, comment is 0, blank is 24.
.history\lua\ccr\elements\button_20191117161128.lua, code is 75, comment is 0, blank is 25.
.history\lua\ccr\elements\button_20191117161143.lua, code is 75, comment is 0, blank is 25.
.history\lua\ccr\elements\button_20191117161145.lua, code is 75, comment is 0, blank is 25.
.history\lua\ccr\elements\button_20191117161212.lua, code is 75, comment is 0, blank is 25.
.history\lua\ccr\elements\button_20191117170653.lua, code is 81, comment is 0, blank is 26.
.history\lua\ccr\elements\button_20191117171912.lua, code is 82, comment is 0, blank is 26.
.history\lua\ccr\elements\button_20191117172413.lua, code is 81, comment is 0, blank is 26.
.history\lua\ccr\elements\button_20191117172753.lua, code is 81, comment is 0, blank is 26.
.history\lua\ccr\elements\button_20191117172821.lua, code is 81, comment is 0, blank is 26.
.history\lua\ccr\elements\button_20191117175543.lua, code is 82, comment is 0, blank is 26.
.history\lua\ccr\elements\button_20191117180445.lua, code is 88, comment is 0, blank is 27.
.history\lua\ccr\elements\button_20191117180518.lua, code is 88, comment is 0, blank is 26.
.history\lua\ccr\elements\circle_avatar_20191103003302.lua, code is 41, comment is 2, blank is 15.
.history\lua\ccr\elements\circle_avatar_20191116025057.lua, code is 41, comment is 1, blank is 15.
.history\lua\ccr\elements\circle_avatar_20191116025103.lua, code is 41, comment is 2, blank is 15.
.history\lua\ccr\elements\circle_avatar_20191116025125.lua, code is 41, comment is 2, blank is 15.
.history\lua\ccr\elements\frame_20191108222437.lua, code is 49, comment is 12, blank is 12.
.history\lua\ccr\elements\frame_20191116022539.lua, code is 52, comment is 11, blank is 12.
.history\lua\ccr\elements\frame_20191116025235.lua, code is 53, comment is 11, blank is 12.
.history\lua\ccr\elements\frame_20191116025307.lua, code is 54, comment is 11, blank is 12.
.history\lua\ccr\elements\frame_20191116025338.lua, code is 53, comment is 8, blank is 12.
.history\lua\ccr\elements\frame_20191116025359.lua, code is 54, comment is 8, blank is 12.
.history\lua\ccr\elements\frame_20191116025413.lua, code is 53, comment is 8, blank is 12.
.history\lua\ccr\elements\frame_20191116025431.lua, code is 52, comment is 11, blank is 12.
.history\lua\ccr\elements\image_label_20191115233405.lua, code is 0, comment is 0, blank is 0.
.history\lua\ccr\elements\image_label_20191115234330.lua, code is 38, comment is 0, blank is 13.
.history\lua\ccr\elements\image_label_20191115235124.lua, code is 49, comment is 0, blank is 13.
.history\lua\ccr\elements\image_label_20191115235126.lua, code is 49, comment is 0, blank is 13.
.history\lua\ccr\elements\image_label_20191115235341.lua, code is 50, comment is 0, blank is 14.
.history\lua\ccr\elements\image_label_20191115235902.lua, code is 51, comment is 1, blank is 14.
.history\lua\ccr\elements\image_label_20191115235952.lua, code is 51, comment is 0, blank is 14.
.history\lua\ccr\elements\image_label_20191116000019.lua, code is 51, comment is 0, blank is 14.
.history\lua\ccr\elements\image_label_20191116000021.lua, code is 51, comment is 0, blank is 14.
.history\lua\ccr\elements\image_label_20191116000056.lua, code is 51, comment is 0, blank is 14.
.history\lua\ccr\elements\image_label_20191116000122.lua, code is 54, comment is 0, blank is 14.
.history\lua\ccr\elements\image_label_20191116000126.lua, code is 54, comment is 1, blank is 14.
.history\lua\ccr\elements\image_label_20191116000140.lua, code is 54, comment is 1, blank is 14.
.history\lua\ccr\elements\image_label_20191116000223.lua, code is 55, comment is 1, blank is 14.
.history\lua\ccr\elements\image_label_20191116000239.lua, code is 50, comment is 1, blank is 12.
.history\lua\ccr\elements\image_label_20191116000250.lua, code is 54, comment is 1, blank is 14.
.history\lua\ccr\elements\image_label_20191116000335.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000409.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000428.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000434.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000440.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000458.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000512.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000523.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000529.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000540.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000546.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000604.lua, code is 55, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000628.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116000641.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001013.lua, code is 57, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001017.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001021.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001027.lua, code is 57, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001037.lua, code is 57, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001041.lua, code is 57, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001112.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001116.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001142.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001157.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001211.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001214.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001334.lua, code is 57, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001419.lua, code is 57, comment is 1, blank is 13.
.history\lua\ccr\elements\image_label_20191116001427.lua, code is 56, comment is 1, blank is 13.
.history\lua\ccr\elements\scrollpanel_20191102212116.lua, code is 13, comment is 0, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191116005516.lua, code is 13, comment is 0, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191116005615.lua, code is 14, comment is 0, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191116005738.lua, code is 14, comment is 0, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191116005746.lua, code is 13, comment is 0, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191116013425.lua, code is 16, comment is 0, blank is 6.
.history\lua\ccr\elements\scrollpanel_20191116024525.lua, code is 18, comment is 0, blank is 6.
.history\lua\ccr\elements\scrollpanel_20191116025912.lua, code is 16, comment is 2, blank is 6.
.history\lua\ccr\elements\scrollpanel_20191116133441.lua, code is 13, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117153838.lua, code is 14, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117153851.lua, code is 14, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117153914.lua, code is 14, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117153924.lua, code is 14, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117154005.lua, code is 14, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117154012.lua, code is 14, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117154043.lua, code is 14, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117154048.lua, code is 13, comment is 2, blank is 5.
.history\lua\ccr\elements\scrollpanel_20191117154119.lua, code is 15, comment is 2, blank is 7.
